"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bhutan","BTN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","13.23909","15.59164","","","","","","","","","","","","","","","","","","","49.98523","51.28878","54.43079","57.37129","","","","69.62885","73.9767","","80.56935","85.39927","87.74699","89.24738","91.40577","89.27807","","89.14289","88.10899","87.64798","88.54243","","","","","","",
"Botswana","BWA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","53.12263","49.56221","51.34131","54.88695","59.53586","67.11246","71.9274","76.23953","76.78652","78.23757","82.65349","87.01356","","91.66206","92.07417","93.95577","93.86721","94.3179","94.75767","94.91828","94.99855","97.27605","96.22717","95.38295","95.18357","85.28204","85.60003","","86.27581","86.88879","87.82856","89.09618","88.91289","89.12015","88.43064","89.11949","89.63873","88.32062","87.16181","86.38464","","","88.64898","88.75808","88.10205","","","","","","","","","","",
"Central African Republic","CAF","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","34.26885","36.38039","38.97356","","","","38.08183","37.84995","","","42.2307","43.12012","42.50485","","","50.49967","41.33507","39.87899","40.29103","47.60661","44.41109","","","","","","","","","","","","","","40.3517","40.33468","46.82997","54.94259","54.89439","57.04558","55.69895","58.95938","","","","","","","","","","","","",
"Canada","CAN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","95.95956","95.49716","94.85156","94.82993","95.23914","95.25014","95.27682","94.92075","96.08404","98.11202","97.87987","95.8605","94.91432","94.10072","95.00646","","98.95292","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4861","92.81695","92.84749","93.65097","92.95945","92.86134","92.6861","92.30741","92.42654","92.85786","92.15471","92.66448","92.92732","92.86517","92.9377","92.65548","92.35341","91.96324","91.31979","91.3643","","","","","","","",
"Switzerland","CHE","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","76.9349","77.40173","","","77.92082","77.79511","77.59522","77.17359","77.01762","77.38807","78.68488","80.45377","82.32717","84.04539","84.9129","84.97695","84.43805","83.68513","88.95611","91.01745","","","","","","","","94.75558","93.61349","93.16875","93.14766","93.77317","93.91024","93.76425","93.6527","93.57616","","","","","","","","","","","","",
"Channel Islands","CHI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.01734","95.49457","94.15455","95.50473","94.74961","94.48551","93.69801","93.44061","93.45642","94.05549","94.76194","","","","","","","",
"China","CHN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.86181","","92.44208","","93.82729","93.15314","92.24111","90.89306","89.55309","88.67978","88.3706","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","39.38276","","","","","","","","","","","","","","","","","","","46.8227","47.69157","","48.64547","47.3909","51.25323","50.44859","49.87982","","","","","","50.48391","","","","64.17623","67.64352","72.05407","79.03977","81.9408","86.60521","","","","","","",
"Cameroon","CMR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","56.27766","56.39323","54.80279","53.93928","59.73567","61.46184","60.59428","61.76391","62.99343","63.3704","","","","","","","","68.92324","","68.15451","66.47375","","","","","","","","","","","","","","","","","","","","82.91874","","","","","90.25242","88.71914","","","","","","","",
"Congo, Dem. Rep.","COD","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","54.29018","53.46788","","","57.77708","","","","60.11218","","","","64.19606","65.41728","","","","56.48755","","","54.07675","53.1399","52.48012","52.64684","55.95531","","","","35.88598","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","76.49332","","82.85252","","87.32635","","92.08962","92.62376","86.06842","85.15614","86.01027","86.9558","87.75996","","","","","","","","","","","","","","","","","","","","","56.45804","52.4217","","","","84.61883","","91.64617","","","","","","","","","","","","",
"Colombia","COL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","69.05872","","","","","77.01311","","","","","","","","94.30288","93.83488","91.65179","92.35925","","93.06034","","","","","92.52637","91.39447","91.45634","89.93366","90.09056","90.47222","92.03987","93.16734","93.37977","93.16194","","","","","","",
"Comoros","COM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.59841","","","","","","","62.29609","","","","","55.92435","62.13601","","","","","","","76.25053","","","","","","82.22375","79.21642","","","78.93816","80.68777","","","","","","",
"Cabo Verde","CPV","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","88.80977","86.89369","83.41503","91.23305","93.88383","95.42331","97.23594","","","","","","","","","","","","","","97.414","96.07467","95.40711","94.68033","95.12574","96.10751","95.97881","95.2566","94.24483","93.59526","91.9733","92.5222","92.35761","92.32356","92.51481","91.54659","91.9506","92.55145","","","","","","",
"Costa Rica","CRI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","84.94045","","87.59228","88.75836","","90.56168","92.80986","","91.38362","89.95903","89.96312","90.24776","88.54472","","","85.54829","86.63674","86.72537","","86.90914","87.01864","87.64169","","","","","","","","","","","","","","","","","","","","","","97.97772","96.96457","97.50467","98.2234","96.29905","","","","","","","",
"Caribbean small states","CSS","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","93.61511","94.01978","94.43481","94.771","95.08514","93.31517","92.02867","93.91365","94.03244","93.99425","92.85679","93.53299","94.5126","95.20437","95.0615","94.69073","94.44768","95.46006","95.29849","96.68515","95.42339","93.44562","92.338","91.46254","91.70484","91.99979","92.13167","92.47161","92.92004","","92.41532","91.77903","","","91.43604","90.86625","","90.88696","","","","","","","","90.79281","89.15522","88.25528","87.76584","","","","","","",
"Cuba","CUB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","93.53554","94.4193","95.09471","","","","","","96.36885","94.41839","93.28839","93.08228","92.1089","90.05032","90.29418","91.73722","91.36786","91.67703","91.89559","91.71904","94.2409","95.03094","97.24664","97.14267","98.55066","98.23953","96.41434","97.23299","97.27999","","","97.01449","97.00437","96.48194","96.1051","95.99335","95.88886","97.51779","98.20597","98.28971","97.7171","97.62517","95.08158","93.86373","94.35613","95.40883","97.5384","","","","","","",
"Curacao","CUW","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
